CGS	;CGS
Leading Scientific School of the Russian Federation	;Leading Scientific School of the Russian Federation
KIST	;Korea Institute of Science and Technology  KIST
CRCN	;Centre de Recherche Sur le Cerveau le Comportement et la Neuropsychiatrie  CRCN
WCU	;World Class University  WCU  program
Tektronix Inc	;Tektronix Inc
FNR	;National Research Fund  FNR  in Luxembourg;National Research Fund  FNR  of Luxembourg
Fiske Drug Discovery Fund	;Fiske Drug Discovery Fund
NAC	;NAC
University of Nottingham	;University of Nottingham
Korea Breast Cancer Foundation	;Korea Breast Cancer Foundation
COLCIENCIAS	;Colombian Institute for the Advancement of Science and Technology  COLCIENCIAS;scholarship program  Francisco Jose de Caldas - Generacion del Bicentenario  of The Administrative Department of Science Technology and Innovation - COLCIENCIAS
Deanship of Scientific Research King Saud University and Agriculture Research Center College of Food and Agriculture Sciences	;Deanship of Scientific Research King Saud University and Agriculture Research Center College of Food and Agriculture Sciences
ABB	;ABB
NTC	;National Textile Center  NTC  through the U S  Department of Commerce
King Saud University	;King Saud University
Belgian Politique Scientifique Federale	;Belgian Politique Scientifique Federale
IWT	;Agency for Innovation by Science and Technology in Flanders  IWT;IWT  Agentschap voor innovatie door Wetenschap en Technologie Baekeland-mandaat
MOCIE	;Ministry of Commerce Industry and Energy  MOCIE
Academy of Science of the Slovak Republic	;Academy of Science of the Slovak Republic
E U -European Social Fund	;E U -European Social Fund
Department of Education and Science of the Principality of Asturias	;Department of Education and Science of the Principality of Asturias
DBT	;Department of Biotechnology  DBT India
Research Grants Council	;Research Grants Council
KOSEF	;Korea Science and Engineering Foundation  KOSEF;Korea Science and Engineering Foundation KOSEF  - the Korea government MEST
NCL	;NCL Pune
SEI	;Science Foundation Ireland  SEI
Yahoo Research	;Yahoo Research
PHC-Brancusi Grant	;PHC-Brancusi Grant
TUBITAK	;Scientific and Technological Research Council of Turkey  TUBITAK;Scientific and Technological Research Council of Turkey TUBITAK;TUBITAK;TUBITAK  The Scientific and Technological Research Council of Turkey;TUBITAK  Turkish Scientific and Technological Research Council;TUBITAK DRCAD Medical Decision Support System
Pratt Water Group	;Pratt Water Group
HIR-MOHE	;University of Malaya HIR-MOHE
WorldSoft BD Limited	;WorldSoft BD Limited
FCT-Portugal	;FCT-Portugal
NCATS	;NCATS NIH HHS
Ministry of Economic Affairs	;Ministry of Economic Affairs
Islamic Azad University Qazvin Branch Qazvin Iran	;Islamic Azad University Qazvin Branch Qazvin Iran
SFWMD	;South Florida Water Management District  SFWMD
PETR	;University Teknologi PETR ONAS for providing the data
Robert Wood Johnson Foundation Clinical Scholars Program	;Robert Wood Johnson Foundation Clinical Scholars Program
University of Malaya High Impact Research Grant from Ministry of Education Malaysia	;University of Malaya High Impact Research Grant from Ministry of Education Malaysia
Polish Ministry of Scientific Research and Information Technology	;Polish Ministry of Scientific Research and Information Technology
ELEKTRO	;ELEKTRO Power Distribution Company
admission office of Shanghai Jiao Tong University	;admission office of Shanghai Jiao Tong University
Laboratory for Engineered Human Protection Department of Defense/US Army Natick Soldier Systems Center	;Laboratory for Engineered Human Protection Department of Defense/US Army Natick Soldier Systems Center
DGRSDT	;General Directorate of Scientific Research and Technological Development  DGRSDT
Wei LI in software programming and hardware design	;Wei LI in software programming and hardware design
CAS	;Key Laboratory of Land Surface Process and Climate Change in Cold and Arid Regions CAS
Research Center of Metallurgical Testing and Equipment Engineering Technology	;Research Center of Metallurgical Testing and Equipment Engineering Technology
Archaeometric expert system for the intelligent fight against the trafficking of cultural and historical heritage	;Archaeometric expert system for the intelligent fight against the trafficking of cultural and historical heritage
UTM	;Research Management Centre UTM;Universiti Teknologi Malaysia  UTM
RFCS	;EU RFCS research project IRSIS;European Union's Research Fund for Coal and Steel  RFCS  Research Programme;RFCS program;RFCS research project 'IRSIS'
Human Health Center for Marine Genomics at Hollings Marine Laboratory	;Human Health Center for Marine Genomics at Hollings Marine Laboratory
Columbia University	;Columbia University
Doctoral Innovation Foundation of Guilin University of Technology	;Doctoral Innovation Foundation of Guilin University of Technology
Office of Science and Technology	;Office of Science and Technology
Conselleria d'Educacio  Generalitat Valenciana	;Conselleria d'Educacio  Generalitat Valenciana
University of Hertfordshire	;University of Hertfordshire
FINEP	;FINEP  Brazilian Agency;Research and Projects Financing  FINEP
CNN	;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNN
SBO	;SBO grant  InSPECtor  of the Flemish agency for Innovation by Science and Technology  IWT
COMPLEX	;European Research Council  COMPLEX REASON
OeAD	;OeAD
Ministry of National Education of the Republic of Indonesia	;Ministry of National Education of the Republic of Indonesia
Polish-Norwegian Research Programme	;Polish-Norwegian Research Programme
Heilongjiang Provincial Department of Education	;Heilongjiang Provincial Department of Education
Torino	;Torino
UNL	;UNL Layman Award;UNL Pathways to Interdisciplinary Research Centers grant
Irrigation and Drainage Department Malaysian Government	;Irrigation and Drainage Department Malaysian Government
King Mongkut's University of Technology Thonburi	;King Mongkut's University of Technology Thonburi
Czech Technical University in Prague Faculty of Biomedical Engineering	;Czech Technical University in Prague Faculty of Biomedical Engineering
Queensland government	;Queensland government
H2020	;H2020 DREAM-GO Project  Marie Sklodowska-Curie;H2020 for the project Big-DataEurope
Universidad de Alcala and Comunidad de Madrid	;Universidad de Alcala and Comunidad de Madrid
Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy  the University of Perugia	;Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy  the University of Perugia
International Science and Technology Cooperation Program of China	;International Science and Technology Cooperation Program of China
BMWI	;German Ministry of Economics  BMWI
Canada Foundation for Innovation	;Canada Foundation for Innovation
Liikesivistysrahasto	;Liikesivistysrahasto
Western Digital  Thailand	;Western Digital  Thailand
European Social Fund - Investing in People within the Sectoral Operational Programme Human Resources Development	;European Social Fund - Investing in People within the Sectoral Operational Programme Human Resources Development
Romanian Ministry of Scientific Research and Technology	;Romanian Ministry of Scientific Research and Technology
Cognitive Science Program	;Cognitive Science Program
Iran Ministry of Science Research and Technology	;Iran Ministry of Science Research and Technology
FCT-Fundacao para a Ciencia e a Tecnologia  Portuguese Foundation for Science and Technology	;FCT-Fundacao para a Ciencia e a Tecnologia  Portuguese Foundation for Science and Technology
Basic Science Research Program	;Basic Science Research Program
Beijing Municipal Education Commission	;Beijing Municipal Education Commission
Royal Society of New Zealand	;Royal Society of New Zealand
Ministero dell'Universita e della Ricerca Italy	;Ministero dell'Universita e della Ricerca Italy
European Social Fund through Sectorial Operational Program Human Resources	;European Social Fund through Sectorial Operational Program Human Resources
GUP	;Universiti Teknologi Malaysia through Research University Grant  GUP
EUROCONTROL	;European Organisation for the Safety of Air Navigation  EUROCONTROL
JAE	;JAE program  Spanish National Research Council - CSIC
petroleum and chemical engineering department engineering faculty in Sultan Qaboos University Oman	;petroleum and chemical engineering department engineering faculty in Sultan Qaboos University Oman
NTNU	;Department of Computer and Information Science at the Norwegian University of Science and Technology  NTNU
Commission of the European Community	;Commission of the European Community
VALUE	;VALUE Graduate School
S&T	;International S&T Cooperation Program of China  ISTCP
Facebook Ph D  fellowship	;Facebook Ph D  fellowship
Feder Fonds	;Feder Fonds
CSIRO	;CSIRO;CSIRO Julius Career Award
National Science Fund for Distinguished Young Scholars	;National Science Fund for Distinguished Young Scholars
DAE	;DAE Government of India
Ministere de l'Education Nationale de la Recherche et de la Technologie	;Ministere de l'Education Nationale de la Recherche et de la Technologie
FAPESP-Sao Paulo Research Foundation Brazil	;FAPESP-Sao Paulo Research Foundation Brazil
American University of Beirut University Research Board Dar Al-Handassah  Shair & Partners  Research Fund	;American University of Beirut University Research Board Dar Al-Handassah  Shair & Partners  Research Fund
New Academic Researcher Award for Doctoral Candidates	;New Academic Researcher Award for Doctoral Candidates
MAEC-AECID	;MAEC-AECID
Alberta Cancer Board	;Alberta Cancer Board
EPSRC	;Engineering and Physical Sciences Research Council  EPSRC;Engineering and Physical Sciences Research Council  EPSRC  under project  UCT for Games and Beyond;EPSRC;EPSRC  United Kingdom;EPSRC Cancer Imaging Centre;EPSRC CreST Network;EPSRC Doctoral Prize fellowship;EPSRC Doctoral Training Centre;EPSRC Engineering Doctorate from the VEIV EngD Programme at UCL;EPSRC Industrial CASE;EPSRC PhD<INF>+</INF>;EPSRC PROJECT;EPSRC PROJECT Grant;EPSRC Supergen V;Imperial College for EPSRC Pathways to Impact;U K  Engineering and Physical Sciences Research Council  EPSRC;UK Engineering and Physical Sciences Research Council  EPSRC;UK's Engineering and Physical Science Research Council  EPSRC;UK's Engineering and Physical Science Research Council  EPSRC  of the EPRSC Centre for Innovative Manufacturing in Advance Metrology;UK's Engineering and Physical Sciences Research Council  EPSRC;United Kingdom by the EPSRC Intelligent Agents for Home Energy Management project;United Kingdom EPSRC
The Catholic University of Korea	;The Catholic University of Korea
