111 Project	111 Project;
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNN	CNPq;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNN;
CNPq  Brazilian Agency	CNPq  Brazilian Agency;
CNPq  Brazilian Council for Scientific and Technological Development	CNPq  Brazilian National Research Council;CNPq - Brazilian National Council for Scientific and Technological Development;CNPq  Brazilian Council for Scientific and Technological Development;
CNPq  Brazilian Research Council	CNPq  Brazilian Research Council;
CNPq  Conselho Nacional de Desenvolvimento Cientfico e Tecnologico - a Brazilian Research Foundation	CNPq  Conselho Nacional de Desenvolvimento Cientfico e Tecnologico - a Brazilian Research Foundation;
CNPq  Conselho Nacional de Desenvolvimento Cientifico e Tecnologico	CNPq  Conselho Nacional de Desenvolvimento Cientifico e Tecnologico;
CNPq  The Brazilian Research Council	CNPq Brazil;CNPq  The Brazilian Research Council;
CNPq pelo fomento	CNPq pelo fomento;
CNPq through the program  Ciencia sem Fronteiras	CNPq through the program  Ciencia sem Fronteiras;
CNPq/Brazil	CNPq/Brazil;
CNPq/MCT  an institute of the Brazilian goverment	CNPq/MCT  an institute of the Brazilian goverment;
CNPq-National Council for Research and Development of Brazil	CNPq-National Council for Research and Development of Brazil;
CNR grant	CNR grant;
Laboratory Le2i  CNRS 6306 Le-Creusot FRANCE	Laboratory Le2i  CNRS 6306 Le-Creusot FRANCE;CNRS  Mastodons PETASKY project;CNRS;
Co-Building Project from Philosophy and Social Science Research Plan in Heilongjiang Province	Co-Building Project from Philosophy and Social Science Research Plan in Heilongjiang Province;
Center of Excellence in Semantic Agents  COESA	Center of Excellence in Semantic Agents  COESA;
Instituto Politecnico Nacional  Secretaria Academica COFAA grant SIP CIC CIDETEC	Instituto Politecnico Nacional  Secretaria Academica COFAA grant SIP CIC CIDETEC;
Spanish Ministry of Science and Innovation - COGNETCON	Spanish Ministry of Science and Innovation - COGNETCON;
Cognisud	Cognisud;
Cognitive Science Program	Cognitive Science Program;
CogVis team at the University of Hamburg Germany	CogVis team at the University of Hamburg Germany;
CogVis team at the university of Leeds	CogVis team at the university of Leeds;
Colciencias	scholarship program  Francisco Jose de Caldas - Generacion del Bicentenario  of The Administrative Department of Science Technology and Innovation - COLCIENCIAS;Colombian Institute for the Advancement of Science and Technology  COLCIENCIAS;Colciencias;
Collaborative Innovation Center of Novel Software Technology and Industrialization	Collaborative Innovation Center of Novel Software Technology and Industrialization;
Collective Mind project  Spanish Ministry of Economy and Competitiveness	Collective Mind project  Spanish Ministry of Economy and Competitiveness;
College Natural Science Foundation of Jiangsu Province in China	College Natural Science Foundation of Jiangsu Province in China;
College of Engineering Research Center	College of Engineering Research Center;
Colorado State University Energy Supercluster	Columbia University;Colorado State University Energy Supercluster;
COMBIOMED	COMBIOMED;
Commercialisation Fund of Enterprise Ireland is gratefully acknowledged	Commercialisation Fund of Enterprise Ireland is gratefully acknowledged;
Commission of European Communities	Commission of European Communities;
Commission of the European Community	Commission of the European Community;
Commission on Higher Education	Commission on Higher Education;
Commonwealth Scholarship	Commonwealth Scholarship Commission United Kingdom;Commonwealth Scholarship Commission;Commonwealth Scholarship;
Companhia Paulista de Forca e Luz	Companhia Paulista de Forca e Luz;
ERDF-European Regional Development Fund through the COMPETE Programme  Operational Programme for Competitiveness	ERDF-European Regional Development Fund through the COMPETE Programme  Operational Programme for Competitiveness;COMPETE under FEDER Programme;COMPETE;
European Research Council  COMPLEX REASON	European Research Council  COMPLEX REASON;
Complexity Bounds in Coalgebraic Modal Logic	Complexity Bounds in Coalgebraic Modal Logic;
Computer Science National Program of the Spanish Ministry of Economy and Competitiveness	Computer Science National Program of the Spanish Ministry of Economy and Competitiveness;
Computer Science National Programme of the Spanish Ministry of Economy and Competitiveness	Computer Science National Programme of the Spanish Ministry of Economy and Competitiveness;
Computer Science PhD school of the University of Szeged Hungary	Computer Science PhD school of the University of Szeged Hungary;
Computer Systems Engineering Research Group at the University Putra Malaysia 43400 Serdang Selangor Darul Ehsan Malaysia	Computing Innovation Fellowship;Computer Systems Engineering Research Group at the University Putra Malaysia 43400 Serdang Selangor Darul Ehsan Malaysia;
Comunidad Autonoma de La Rioja	Comunidad Autonoma de La Rioja;
CONACYT  National Laboratory Project of Solar Chemistry and Solar Concentration	CONACyT;National Council of Science and Technology in Mexico  CONACYT;National Council of Science and Technology  CONACYT;Mexican National Council for Science and Technology CONACYT;Fondos Mixtos CONACYT -Gobierno del Estado de Zacatecas  Mexico;Consejo Nacional de Ciencia y Tecnologia CONACYT;Consejo Nacional de Ciencia y Tecnologia  CONACYT  Mexico;CONACYT Mexico;CONACYT exchange scholarship program;CONACYT  National Laboratory Project of Solar Chemistry and Solar Concentration;
CONACyT  ConsejoNacional de Ciencia y Tecnologia	CONACyT  ConsejoNacional de Ciencia y Tecnologia;
CONACyT -Calculo de Covering Arrays	CONACyT -Calculo de Covering Arrays;
National Council of Science and Technology  CONACYT-MEXICO	National Council of Science and Technology  CONACYT-MEXICO;
Consejo de Ciencia y Tecnologia del Estado Guanajuato  CONCYTEG  Guanajuato	Consejo de Ciencia y Tecnologia del Estado Guanajuato  CONCYTEG  Guanajuato;
National Council for Scientific Research CONICET  Argentina	National Council for Scientific Research CONICET  Argentina;CONICET Argentina;CONICET  Argentina;CONICET;
Consejo Nacional de Investigaciones Cientificas y Tecnicas  CONI-CET  from Argentina	CONICYT;Consejo Nacional de Investigaciones Cientificas y Tecnicas  CONI-CET  from Argentina;
Conseil Regional du Nord-Pas de Calais	Conseil Regional du Nord-Pas de Calais;
Consejeria de Innovacion Ciencia y Empresa de la Junta de Andalucia  Spain	Consejeria de Innovacion Ciencia y Empresa de la Junta de Andalucia  Spain;
Consejeria de Innovacion Ciencia y Empresas  Junta de Andalucia	Conselho Nacional de Desenvolvimento Cientifico e Tecnologico;Consejeria de Innovacion Ciencia y Empresas  Junta de Andalucia;
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  Brazil	Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNPq;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  Brazil;
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico - CNPq	Conselho Nacional de Desenvolvimento Cientifico e Tecnologico - CNPq;
Conselleria de Cultura Educacion e Ordenacion Universitaria	Conselleria de Cultura Educacion e Ordenacion Universitaria;
Conselleria d'Educacio  Generalitat Valenciana	Conselleria d'Educacio  Generalitat Valenciana;
Consolidated Edison Company of New York	Consolidated Edison Company of New York;
Consolider Ingenio	Consolider Ingenio;
CONSOLIDER-INGENIO	CONSOLIDER-INGENIO;
Construction Funds of Humanities and Social Sciences Lanzhou University	Construction Funds of Humanities and Social Sciences Lanzhou University;
Consulat General de France de Hong Kong	Agence Nationale de la Reserche  France  program CONTINT Science and Technology Committee of Information and Communication;Consulat General de France de Hong Kong;
Cooperative Research Centre for Spatial Information - Australian Commonwealth's Cooperative Research Centres Programme	Cooperative Research Centre for Spatial Information - Australian Commonwealth's Cooperative Research Centres Programme;
Cooperative Research Centre for Spatial Information - Business Cooperative Research Centres Program	Cooperative Research Centre for Spatial Information - Business Cooperative Research Centres Program;
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior	Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior;
Co-ordination for Improvement of Higher Level Personnel-CAPES	Co-ordination for Improvement of Higher Level Personnel-CAPES;
Coordinator Ship of Selcuk University	Coordinator Ship of Selcuk University;
Cornell University	Cornell University;
COST Action	COST Action;COST;
Cotton Research and Development Corporation	Cotton Research and Development Corporation;
Council of Agriculture Taiwan R O C	Council of Agriculture Taiwan R O C;
Council of Education of the Regional Government of Castilla-Leon	Council of Education of the Regional Government of Castilla-Leon;
Council of Science and Technology of Castilla-La Mancha	Council of Science and Technology of Castilla-La Mancha;
Council of Scientific and Industrial Research  Network project  Tapcoal  Government of India New Delhi	Council of Scientific and Industrial Research  Network project  Tapcoal  Government of India New Delhi;
Council of the President of the Russian Federation	Council of the President of the Russian Federation;
country science support plan China	country science support plan China;
Coventry University	Coventry University;
Centre de Recherche Sur le Cerveau le Comportement et la Neuropsychiatrie  CRCN	Centre de Recherche Sur le Cerveau le Comportement et la Neuropsychiatrie  CRCN;
Creadapt	Creadapt;
CREMS Summer Program Award at the University of Toronto	CREMS Summer Program Award at the University of Toronto;
CREST JST	CREST JST;
CRUK	CRUK;
CR-UK	CR-UK;
CSBR  Centres for Systems Biology Research  initiative from the Netherlands Organisation for Scientific Research  NWO	CSC;China Scholarship Council  CSC;CSBR  Centres for Systems Biology Research  initiative from the Netherlands Organisation for Scientific Research  NWO;
California Solar Initiative  CSI  Research Development Demonstration and Deployment  RD&D  Program Grant III	California Solar Initiative  CSI  Research Development Demonstration and Deployment  RD&D  Program Grant III;
CSIC	CSIC;
Council of Scientific and Industrial Research  CSIR  Government of India New Delhi under Network project  TAPCOAL	CSIR New Delhi;CSIR Government of India New Delhi;CSIR  Council of Scientific and Industrial Research  New Delhi;CSIR;Council Scientific and Industrial Research India in the form of CSIR Research Associate fellowship;Council of Scientific and Industrial Research  CSIR  Government of India New Delhi under Network project  TAPCOAL;Council of Scientific and Industrial Research  CSIR  Government of India;Council of Scientific and Industrial Research  CSIR;
